RunName,SpoligoType(MiruHero),SpoligoType(Spotyping),MiruType(MiruHero),MiruType(mirureader),Lineage(MiruHero),Lineages(tb-profiler),Resistance(tb-profiler),Family(SpolLineages)
GCA_001377795.1_6954_1_74_genomic,777740003760771,777740003760771,132223131221211211112-12,112-12222223123131222-12,Euro-American,lineage4.3.3,ND,T1
GCA_001325865.1_8987_4_82_genomic,000000000003771,000000000003771,2-1212-221-13-11--11---1,212011221-31112022111-01,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001324885.1_8987_5_40_genomic,534177707400711,534177707400711,1-51231-11212-111-1---11,112013111121113111211102,Euro-American,lineage4.2.1,ND,Unknown
GCA_001325905.1_8898_8_34_genomic,000000000003771,000000000003771,11-1221221-13--1--112--1,111111122-33112122111-01,East Asian,lineage2.2.1,ND,Beijing
GCA_001345255.1_6280_8_5_genomic,717776777760771,717776777760771,2121211112212-12-1211111,22211212222221111122--13,Euro-American,lineage4.1.1.3,rifampicin(R),X1
GCA_001350875.1_8080_8_26_genomic,777777777000371,777777777000371,21222212122231131-311-12,2-2122222--2322121222102,Euro-American,lineage4.7,ND,Unknown
GCA_001328035.1_7054_1_16_genomic,300040377360671,300040377360671,1-21221111222--1211-11-2,111022112122212111112212,Euro-American,lineage4.1.1.3,ND,T1
GCA_001328255.1_7054_1_9_genomic,703735740003101,703735740003101,1121121222-13-111-1--112,112112111131212122222101,East-African Indian,lineage3,ND,CAS1-Delhi
GCA_001345115.1_6180_1_6_genomic,777777477760771,777777477760771,2211111113212-12--1111-2,212211121222211111132-02,Euro-American,lineage4.2.2.2,rifampicin(R),T-H37Rv
GCA_001328535.1_6221_2_4_genomic,450002777020000,450002777020000,11-1-1-12121311---11---1,112112121-31121012111--2,Euro-American,lineage4.1.1,ethambutol(R),H3
GCA_001325925.1_8987_4_79_genomic,547747377560461,547747377560461,211212-121-21-11--11---1,212121221111112112111-11,Euro-American,lineage4.1.2,ethionamide(R),T4
GCA_001325625.1_8898_8_58_genomic,563560003360731,563560003360731,1122111212-12112-1111--2,112112221223121121122-11,Euro-American,lineage4.3.3,ND,LAM-RUS
GCA_001328455.1_5237_2_2_genomic,401155400000121,401177400000121,1-12-11112231111---11--1,1-203-2221-2121121-21--2,East-African Indian,lineage3.1.1,ethionamide(R),Unknown
GCA_001376315.1_6954_1_83_genomic,000000000003771,000000000003771,222222122221212411111222,213212222-22322122322-12,East Asian,lineage2.2.1,streptomycin(R),Beijing
GCA_001376595.1_6972_6_12_genomic,774777777020771,774777777420771,2121141132212-1112111112,212112121122214113222122,Euro-American,lineage4.2.1,ND,H3
GCA_001327935.1_6540_7_21_genomic,003700437000121,003700437000121,1111121-12-22--1--111-12,111123121-22112111222-01,Euro-American,lineage1.2.2.1,ethambutol(R),Unknown
GCA_001376175.1_6954_7_16_genomic,000000000003771,000000000003771,213222121321211211112212,212113222223322121232-12,East Asian,lineage2.2.1,kanamycin(R),Beijing
GCA_001325785.1_8939_3_21_genomic,000000000003331,000000000003331,2-1121--11-111-1--11-1-2,211011122-11211011112-01,East Asian,lineage2.2.1,streptomycin(R),Beijing
GCA_001350495.1_7414_6_9_genomic,776177407760771,776177407760771,2122251313222112121121-1,21212222222322-131131--2,Euro-American,lineage4.3.2.1,ND,LAM3
GCA_001377515.1_6972_6_14_genomic,704777777420771,704777777420771,2121131122212-1122111122,212112121122213112322222,Euro-American,lineage4.2.1,rifampicin(R),Ural-1
GCA_001376935.1_6954_8_72_genomic,000000000003771,000000000003771,212222121221212311111112,213112222-22222121222-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001376575.1_6954_1_81_genomic,000000000003771,000000000003771,212212131321212211111112,213112221-22222131232-12,East Asian,lineage2.2.1,streptomycin(R),Beijing
GCA_001325345.1_8987_4_24_genomic,000000000003771,000000000003771,11-1111211222-12--111111,112122121--2211121211-02,East Asian,lineage2.2.1,ND,Beijing
GCA_001325885.1_8898_8_33_genomic,000000000003430,000000000003430,1112111222221-11--1----2,112121211-11111122122-02,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001350735.1_8080_8_7_genomic,000000077760771,000000077760771,2122231232222124222-2112,223122212-23223123222--2,Euro-American,lineage4.4.1.1,ND,T1
GCA_001350755.1_8080_8_34_genomic,000000000003771,000000000003771,2113231412223114-2112112,212121322-3322-1-1222--2,East Asian,lineage2.2.1,ND,Beijing
GCA_001324785.1_8898_8_21_genomic,767531770000731,767531770000731,2--1221322-111-1--111--2,211012122-12122122122-01,Euro-American,lineage4.8,streptomycin(R),Unknown
GCA_001327915.1_6540_6_12_genomic,501376400001701,501376400001701,1-1111-111-121-1----1--1,10101-111122121011111--1,East-African Indian,lineage3.1.1,ND,CAS
GCA_001377815.1_6972_6_38_genomic,000000377420771,000000377420771,2131131112212-21111111-1,213113121122213111121112,Euro-American,lineage4.2.1,ND,NEW-1 (misnamed as Ural-2)
GCA_001376535.1_6954_8_92_genomic,000000000003771,000000000003771,222212131222311221111122,212-222212-2222131322212,East Asian,lineage2.2.1,streptomycin(R),Beijing
GCA_001345235.1_6180_2_8_genomic,700377740003771,700377740003771,2121111312212-11-1211112,222112121122211131222-12,East-African Indian,lineage3.1.2.1,rifampicin(R),CAS2
GCA_001375915.1_6954_1_67_genomic,000000000003771,000000000003771,213225151322212231112122,2131232222232251-1332312,East Asian,lineage2.2.1,ND,Beijing
GCA_001325065.1_8939_3_65_genomic,737736377420771,737736377420771,11421111-22111-1-11---11,111114211111121110221-12,Euro-American,lineage4.2.1.1,ND,Ural-1
GCA_001345095.1_6180_1_7_genomic,777777777760771,777777777760771,2121131213211112-1311112,2-2112121212223121233-12,Euro-American,lineage4,rifampicin(R),T1
GCA_001325185.1_8939_3_12_genomic,000000000002171,000000000002171,2--1121111221--1--111--1,211022121-12112111111-02,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001377295.1_6972_6_2_genomic,000000000003771,000000000003771,2131131222222-22-1111122,213123121222213122322-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001327795.1_6570_8_1_genomic,777777757760771,777777757760771,221122142321212111212112,22321-122123222142232112,Euro-American,lineage4.1.2.1,ND,T5
GCA_001376015.1_6954_1_66_genomic,000000000003771,000000000003771,232213131322211511111112,212-22221-22223131232-12,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001328015.1_6570_7_3_genomic,617776777760601,617776777760601,2111211212222-11112111-1,2221211221222111-1121112,Euro-American,lineage4.1.1,ND,X2
GCA_001325965.1_8898_8_42_genomic,000000000002571,000000000002571,1--2121222221112--11--11,112021221-11122122221-02,East Asian,lineage2.2.1,ND,Beijing
GCA_001328335.1_6174_2_8_genomic,000000000000171,000000000000171,1-1111-112-13-111-111-12,11201-122-321110112221-1,East Asian,lineage3.1.1,isoniazid(R),Beijing
GCA_001377255.1_6954_1_60_genomic,000000000003771,000000000003771,233222122222211211122222,212-23232223322122322-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001328175.1_7054_1_25_genomic,376323727740171,376323727740171,11211212222211-12-1-11-1,111122111112222122121202,Euro-American,lineage4.4.1.1,ND,S
GCA_001377915.1_6954_1_75_genomic,777777770000771,777777770000771,2-2122132222111211111112,212022122-12222132222-12,Euro-American,lineage4.8,streptomycin(R),Unknown
GCA_001377075.1_6972_6_1_genomic,000000000003771,000000000003771,2131111123212-12-1111112,212113121222211112232-12,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001377735.1_6972_6_34_genomic,774777777420771,774777777420771,2131131122212-2121121112,213113131122213112222212,Euro-American,lineage4.2.1,ND,Ural-1
GCA_001377315.1_6972_6_44_genomic,777777777760771,777777777760771,2131131213221-12-1112122,212123121213213121332-12,Euro-American,lineage4.8,ND,T1
GCA_001328155.1_6570_7_13_genomic,777777743760771,777777743760771,211111111221111111111113,212111121-12221111223112,Euro-American,lineage4.6.2.2,isoniazid(R),Cameroon
GCA_001328495.1_6174_8_9_genomic,527726077340341,527726077340341,1111121222-12--111-----1,101111111121112122121111,Euro-American,lineage4.1.1.3.1,ofloxacin(R),T3
GCA_001377215.1_6954_1_77_genomic,000000000003771,000000000003771,212222121321211411112112,212112222-23222121232-12,East Asian,lineage2.2.1,ND,Beijing
GCA_001350595.1_7414_6_23_genomic,000000000003771,000000000003771,212222151221312221211122,2231122222322221-1322-12,East Asian,lineage2.2.1,ND,Beijing
GCA_001377375.1_6972_6_13_genomic,777776777560771,777776777560771,2132141113211-1212222112,222113231--3214111232122,Euro-American,lineage4.1,kanamycin(R),X1
GCA_001378075.1_6954_8_63_genomic,000000000003771,000000000003771,2122121312223-2111111212,2131222211-2312131222-12,East Asian,lineage2.2.1,ND,Beijing
GCA_001325985.1_8898_8_19_genomic,655717277420771,655717277420771,2-411111112221-1---12112,201024121123221111212-02,Euro-American,lineage4.2.1.1,ND,Ural-1
GCA_001376995.1_6954_8_54_genomic,774777777420771,774777777420771,213222113222211221121122,212123232222222113322212,Euro-American,lineage4.2.1,rifampicin(R),Ural-1
GCA_001326115.1_8939_3_67_genomic,514236775420711,514236775420711,1-21121131-121-11-1--1-1,111011111121222123111101,Euro-American,lineage4.2.1,ND,NEW-1 (misnamed as Ural-2)
GCA_001377655.1_6954_8_77_genomic,774777777020771,774777777420771,213225113221213221111112,21-113222222225113222212,Euro-American,lineage4.2.1,ND,H3
GCA_001328315.1_6540_8_20_genomic,600000004020601,600000004020601,1--211-111-13-11-1111--2,112012221-32111011112-11,Euro-American,lineage4.1.1,ND,H1
GCA_001377635.1_6972_6_42_genomic,000000000003771,000000000003771,2131131122212-12-1111122,212113121222213112322-12,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001377455.1_6972_6_3_genomic,000000000003771,000000000003771,2131231212212-13-1112112,212-13122323213121222-12,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001325745.1_8939_3_92_genomic,000000000003261,000000000003261,1111121311-21--1--112-11,111121121-13112131111-01,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001325765.1_8939_3_94_genomic,000000000003771,000000000003771,1-12211212223-11--1111-1,112021222-32211121121-02,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001325245.1_8987_4_40_genomic,000000000003231,000000000003231,1-21121111-111-1--111--2,111012121-12122111112-01,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001350655.1_7414_6_35_genomic,000000000003771,000000000003771,212212141222212211112122,2131222212232221-1322--2,East Asian,lineage2.2.1.1,ND,Beijing
GCA_001375875.1_6972_6_22_genomic,000000000003771,000000000003771,2131141213322-12-1122112,212123131223214121232-13,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001350635.1_7414_6_41_genomic,000000000003771,000000000003771,2122221515212112-2132112,2121122-222-22-1-12-2--2,East Asian,lineage2.2.1.1,ND,Beijing
GCA_001377275.1_6954_8_75_genomic,000000000003771,000000000003771,233222121221211211111122,212-13222-22222121322-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001325685.1_8939_3_39_genomic,264714374420521,264716374420521,2-4212-111223-111--1--12,202024221131112111212102,Euro-American,lineage4.2.1,rifampicin(R),Ural-1
GCA_001376955.1_6954_7_41_genomic,777777607760071,777777607760071,212222122224112211112-22,2131-222221312-122322-12,Euro-American,lineage4.3.3,ND,LAM9
GCA_001376155.1_6954_8_96_genomic,777777757760771,777777757760771,212124131322111222112122,212122122-13224131332--2,Euro-American,lineage4.8,ND,T5
GCA_001325665.1_8898_8_94_genomic,000000007140551,000000007140551,1111111112-111-32-1-1111,111111111312221111221201,Euro-American,lineage4.4.1.1,ND,LAM
GCA_001377055.1_6972_6_29_genomic,774777777420771,774777777420771,2222131122212-2121211112,223212221122213112222212,Euro-American,lineage4.2.1,rifampicin(R),Ural-1
GCA_001376235.1_6972_6_26_genomic,000000000003771,000000000003771,2131231112212-11-1121122,212113132222213111322-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001324765.1_8987_4_78_genomic,000000000003131,000000000003131,2-11121121213-11-111---2,212011121-31112112112-12,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001377095.1_6972_6_16_genomic,777777777740771,777777777740771,2111231122221111-1112111,212121122113223112221-12,Euro-American,lineage4.8,rifampicin(R),T1
GCA_001377835.1_6954_7_32_genomic,000000000003771,000000000003771,222222121222212211122112,213-22232-23222121222-12,East Asian,lineage2.2.1,ND,Beijing
GCA_001375795.1_6954_7_47_genomic,777777774020771,777777774020771,112222151222212321111212,113122222-22322151222-12,Euro-American,lineage4.1.2.1,streptomycin(R),H1
GCA_001325405.1_8987_4_23_genomic,273376373760241,273376373760241,2111121522252--1--11--11,2111-11211211121-2221-02,Euro-American,lineage4.8,ND,T1
GCA_001345155.1_6280_7_10_genomic,777777603560771,777777603560771,1122221112221-1221222-12,12212223-2131121112222-2,Euro-American,lineage4.3.3,rifampicin(R),T1
GCA_001345195.1_6280_8_2_genomic,007361600000000,007361600000000,2211121213212-1212211-12,2-221112-22-1111212321-3,Euro-American,lineage4.3.4.2.1,rifampicin(R),BOV_4-CAPRAE
GCA_001327955.1_6540_4_22_genomic,762200000000000,762200000000000,1--2211111-111-1--11---1,111011222-111211-1111-01,Euro-American,lineage4.1.1.3.1,ND,Unknown
GCA_001377895.1_6954_1_91_genomic,000000000003771,000000000003771,223222131322211411211112,222223222-22222131232-12,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001378015.1_6954_7_33_genomic,000000000003771,000000000003771,212222131222212211111122,213122222222222131322-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001377775.1_6972_6_20_genomic,000000000003771,000000000003771,2111111123212-22-1121112,213111131222211112232-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001328275.1_6540_6_14_genomic,403311400002150,403311400002150,1-11111213-1--11----1--2,1020111111-2111121132--1,East-African Indian,lineage3,ND,Unknown
GCA_001350695.1_8080_8_16_genomic,777777477760771,777777477760771,213222132321212321111113,213113222322222132233-12,Euro-American,lineage4.9,ND,T-H37Rv
GCA_001375575.1_PRJEB8877_assembly_1_genomic,777777774020771,777777774020771,225313152323312251121313,213235331232423152233512,Euro-American,lineage4.1.2.1,ND,H1
GCA_001377195.1_6954_7_38_genomic,770337777420771,770337777420771,224212113122311231222112,2222242312-3222113212312,Euro-American,lineage4.2.1.1,isoniazid(R),Ural-1
GCA_001325425.1_8939_3_73_genomic,627177717700471,627177717700471,2-1-221211-121-1--111111,211011222-22222121211-01,Euro-American,lineage4.1.2,ethionamide(R),Unknown
GCA_001350575.1_7414_6_38_genomic,000000000003771,000000000003771,212222151221212331221112,223112232-222221-1222--2,East Asian,lineage2.2.1,ND,Beijing
GCA_001372235.1_PRJEB7991_assembly_1_genomic,777777774020731,777777774020731,2243-3142323312331121213,21323433-332323142233312,Euro-American,lineage4,ND,H1
GCA_001328415.1_6280_4_8_genomic,755552517760471,755552517760471,1-21121112212111--11---1,112012121121122111121-02,Euro-American,lineage4.8.2,isoniazid(R),X1
GCA_001325225.1_8939_3_79_genomic,000000000003661,000000000003661,1-11121121-11111--11--11,112011121-11122112211-01,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001328555.1_6221_3_1_genomic,630732406460231,630732406460231,1--1111222-12--2-11----3,1110111112-1112122123-11,Euro-American,lineage4.3.1.1,isoniazid(R),LAM
GCA_001376515.1_6954_7_15_genomic,000000000003771,000000000003771,213222151221312311231112,2231132-2--22221-1222-12,East Asian,lineage2.2.1,streptomycin(R),Beijing
GCA_001328095.1_6540_6_19_genomic,103117400001560,103117400001560,1111121122211--2---11--1,10111-121211112112121--2,East-African Indian,lineage3.1.1,ND,CAS
GCA_001350855.1_8080_8_28_genomic,000000000003771,000000000003771,212222121321312412221112,223112232--2222121232--2,East Asian,lineage2.2.1,ND,Beijing
GCA_001377715.1_6954_8_84_genomic,000000000003771,000000000003771,212212121222212211112122,213122221223222121322-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001325825.1_8939_3_22_genomic,000000000003471,000000000003471,112112-4222211-12-1--1-1,111122111-11222042121202,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001345075.1_6180_1_8_genomic,703777600001771,703777600001771,212214121223-11-11222312,222142231--34241312221-2,East-African Indian,lineage3,rifampicin(R),CAS
GCA_001350615.1_7414_6_34_genomic,777777777760771,777777777760771,212225123222212121112122,213122222123225123322-12,Euro-American,lineage4.8,ND,T1
GCA_001376075.1_6954_8_59_genomic,777777377760771,777777377760771,2232121222222122211-1122,21322322122222-122322-12,Euro-American,lineage4.8,ND,T4
GCA_001328055.1_6540_1_16_genomic,000000014000000,000000014000000,21111112122111-1-1111-11,-11111121-12121121221-12,Euro-American,lineage4.1.1,ND,BOV_4-CAPRAE
GCA_001325705.1_8898_8_54_genomic,000000000001571,000000000001571,1112121221-11--1--1-1--1,111111211-12112122111-01,East Asian,lineage2.2.1,ND,Beijing
GCA_001376115.1_6954_7_31_genomic,000000000003771,000000000003771,223222131222211211121112,212-23232-22222131222-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001377955.1_6972_6_18_genomic,777760007760771,777760007760771,1111131222222-1111111--2,112121121122113122122112,Euro-American,lineage4.3.3,ND,LAM-RUS
GCA_001375995.1_6954_1_52_genomic,777777777760771,777777777760771,212122152323211121112122,2121321221232221-2332212,Euro-American,lineage4.8,ND,T1
GCA_001325365.1_8987_4_26_genomic,000000000000771,000000000000771,21-1121111-21-111-1-1112,212122111-12212111212101,East Asian,lineage2.2.1,ND,Beijing
GCA_001327655.1_7054_2_78_genomic,326612277620371,326612277620371,2122121311-13-11--2----2,222111211131112121142-01,Euro-American,lineage4.1.1.3,ND,H3
GCA_001375895.1_6954_1_87_genomic,770000777760771,770000777760771,212115132322211211112112,212122121223225132232-12,Euro-American,lineage4.8,ND,T1-RUS2
GCA_001375735.1_6954_1_86_genomic,000000000003771,000000000003771,213222121322211221122112,212123232-23222121232212,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001350715.1_8080_8_22_genomic,000000000003771,000000000003771,212222151222211411111122,212122222-222221-1322-12,East Asian,lineage2.2.1,ND,Beijing
GCA_001324905.1_8987_4_95_genomic,000000000003771,000000000003771,1--1111422211111--111--1,112011121-12121142121-02,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001325285.1_8939_3_58_genomic,774065577420271,774065577420271,2111211111-221-12-1----2,211121112121122111112-01,Euro-American,lineage4.2.1,ND,Ural-1
GCA_001325265.1_8898_8_30_genomic,000000000001271,000000000001271,1-11121212212-----1-1--2,111011111-22112121122-02,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001376275.1_6954_8_93_genomic,777760007760771,777760007760771,112223151221111221313-12,1-21122222141231-1222-12,Euro-American,lineage4.3.3,ND,LAM-RUS
GCA_001377335.1_6954_1_80_genomic,777760007760771,777760007760771,112223123222211211112-12,112122222223123123222-12,Euro-American,lineage4.3.3,ND,LAM-RUS
GCA_001325505.1_8898_8_3_genomic,000000000003741,000000000003741,2-12221512211111--11-1-1,212011222-112221-1121-02,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001378035.1_6954_8_65_genomic,000000000003771,000000000003771,222222151221212311111122,213212222-222221-1322-12,East Asian,lineage2.2.1,ND,Beijing
GCA_001377975.1_6954_8_85_genomic,770000577760771,770000777760771,223125132225211241311122,2-22-3122-2222-132322-12,Euro-American,lineage4.8,ND,T1-RUS2
GCA_001376295.1_6954_8_71_genomic,000000000003771,000000000003771,212212131121312321111112,213112221--2222131212212,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001325305.1_8898_8_29_genomic,000000000003731,000000000003731,2-11121111-11111--1---11,212011111-11122111211-01,East Asian,lineage2.2.1,ND,Beijing
GCA_001377855.1_6954_1_64_genomic,777740003760771,777740003760771,122223122221211112113-22,112212222124123122322-22,Euro-American,lineage4.3.3,ND,T1
GCA_001327755.1_6570_5_15_genomic,777777777760771,777777777760771,211121111221--1--11-2111,212111112--32111-1221-12,Euro-American,lineage4.4.2,ND,T1
GCA_001376395.1_6972_6_25_genomic,000000000003771,000000000003771,2211121223212-12-11111-2,212211121222212122132-12,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001327975.1_7054_2_65_genomic,500073400001771,500073400001771,1-21211121-11-111-2--1-2,122012112111211112112101,East-African Indian,lineage3.1.1,ND,CAS
GCA_001376435.1_6954_7_42_genomic,000000000003771,000000000003771,213222122221311111111122,212113222132222122322-12,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001377675.1_6954_7_3_genomic,000000000003771,000000000003771,212214151222211311212112,222122221-2322-1-1222-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001376715.1_6954_8_91_genomic,000000000003771,000000000003771,213222151322212311111112,213123222-222221-1232-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001324965.1_8898_8_44_genomic,000000000003761,000000000003761,1--22-1111221-122-11---1,112022222-11111111121202,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001376875.1_6954_1_69_genomic,774777777420771,774777777420771,224125112221211221112112,212-1-122223225112222212,Euro-American,lineage4.2.1,streptomycin(R),Ural-1
GCA_001375815.1_6972_6_48_genomic,577760007760771,577760007760771,1121241212211-1211122-12,112112132213114121222-12,Euro-American,lineage4.3.3,ND,LAM-RUS
GCA_001377615.1_6954_1_58_genomic,777600003760771,777600003760771,112223122222211111222-12,122122232123123122222-12,Euro-American,lineage4.3.3,ND,T1
GCA_001376735.1_6954_1_85_genomic,777777663760771,777777663760771,114222132225211211122-12,1121-4232223122132222-12,Euro-American,lineage4.3.3,rifampicin(R),T1
GCA_001376355.1_6954_7_26_genomic,000000000003771,000000000003771,223222151221411211111122,212-13222--22221-1322-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001328135.1_7054_1_12_genomic,303460000000331,303460000000331,1--2211212-22111-11-1--2,112022212122121121122-11,East-African Indian,lineage3,ND,CAS
GCA_001375975.1_6954_7_44_genomic,000000000003771,000000000003771,212222141221311221121122,2121122322-22221-1322-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001377235.1_6972_6_17_genomic,000000000003771,000000000003771,2111111223222-12--1111-1,212121121222211122131-02,East Asian,lineage2.2.1,ND,Beijing
GCA_001375855.1_6954_7_29_genomic,000000000003771,000000000003771,212222151221212211111112,2131122222222221-1222-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001324925.1_8987_4_91_genomic,000000000003771,000000000003771,111-1-1212211--22-1---12,111111111-11111121222202,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001377935.1_6972_6_39_genomic,000000000003771,000000000003771,2131131213212-12-1111212,212-13121222313121232-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001325485.1_8939_3_70_genomic,000000000003760,000000000003760,2-11121112-21111--1-2112,212021121-13222111222-01,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001376475.1_6954_1_71_genomic,000000000003771,000000000003771,232222141322211421112112,212-22222-23222141232-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001375935.1_6954_1_51_genomic,000000000003771,000000000003771,222222121322211211211114,222-2222222222212123--12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001376415.1_6972_6_7_genomic,777777777760771,777777777760771,2231131213212-21211121-2,213213121123213121132212,Euro-American,lineage4.8,ND,T1
GCA_001350835.1_8080_8_10_genomic,777777477760771,777777477760771,212222132221212322212114,223112222323222132224--2,Euro-American,lineage4.9,ND,T-H37Rv
GCA_001345275.1_6280_8_6_genomic,777777777760771,777777777760771,2121111213212-121-211112,2-2112121222211121233103,Euro-American,lineage4.9,rifampicin(R),T1
GCA_001377415.1_6972_6_4_genomic,000000000003771,000000000003771,2121121213212-1211112112,212112121223212121232112,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001377495.1_6954_7_2_genomic,000000000003771,000000000003771,213222121221212211121112,213113232222222121222-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001376655.1_6972_6_6_genomic,774777777420771,774777777420771,2121131122212-1211111212,212112121222313112222112,Euro-American,lineage4.2.1,ND,Ural-1
GCA_001377535.1_6954_7_17_genomic,777777377760771,777777377760771,2132121213211111211-1112,21211322111222-121232-12,Euro-American,lineage4.8,ND,T4
GCA_001325465.1_8898_8_11_genomic,000000000000151,000000000000151,2111211111-21--1--1-11-1,211121112-12211111111-01,East Asian,lineage2.2.1,ND,Beijing
GCA_001377475.1_6972_6_32_genomic,777777777760471,777777777760471,2131131513212-1211111212,212113121222313151232112,Euro-American,lineage4.1.2,ethionamide(R),T1
GCA_001327995.1_6540_4_20_genomic,775777707740670,775777707740670,1--1211112-21-21-1111-11,1130221221-2111111221-11,Euro-American,lineage4.8.2,ND,T1
GCA_001375755.1_6954_1_50_genomic,774777777420771,774777777420771,213222113222211221111112,212123222222222113222-12,Euro-American,lineage4.2.1,rifampicin(R),Ural-1
GCA_001376775.1_6954_7_40_genomic,000000000003771,000000000003771,213222131321311211111112,212113222-32222131232-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001326005.1_8898_8_38_genomic,773140003400751,773140003400751,1--1121212-22-12--1-1-12,112021111222112121222-01,Euro-American,lineage4.3.3,ND,Unknown
GCA_001328375.1_6174_6_7_genomic,707171743720311,707171743720311,1-11111221-12--1-------3,101011111121111122113-01,Euro-American,lineage4.8.2,ND,H3
GCA_001377135.1_6972_6_28_genomic,777760007760771,777760007760771,1212211212211-12-1112--1,112211222213111121121-12,Euro-American,lineage4.3.3,ND,LAM-RUS
GCA_001387275.1_8987_4_4_genomic,000000000003271,000000000003271,1--1111111-11--1--1-11-2,111011111-12211111112-01,East Asian,lineage2.2.1,ND,Beijing
GCA_001387095.1_8898_8_63_genomic,477700000140351,477700000140351,1112211211221-12--1----1,112121212211111121111-02,Euro-American,lineage4.3.3,rifampicin(R),T1
GCA_001394735.1_6540_8_1_genomic,700000000000171,700000000000171,1--212-122-13--1-12-1-11,121012211-3211-0-2221-11,East-African Indian,lineage4.4.1.1,ND,CAS
GCA_001380875.1_7156_6_13_genomic,770000730000000,770000730000000,212122121221111221112112,212112122213222121222212,Euro-American,lineage4.8,ND,Unknown
GCA_001396455.1_5237_3_3_genomic,561401075420771,561401075420771,11-121--11-12-12--1----2,11211-11--21111011112--1,Euro-American,lineage4.2.2,ND,NEW-1 (misnamed as Ural-2)
GCA_001381315.1_7755_4_17_genomic,000000000003771,000000000003771,222222121222211411211122,222222222-22222121322--2,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001392875.1_7054_1_26_genomic,752032367360660,752032367360660,1-11121222-12--1111-1111,111011111-22212122221111,Euro-American,lineage4.4.1.1,ND,T1
GCA_001389535.1_8898_8_6_genomic,000000000003771,000000000003771,2-11121221-1-11---111-11,212011121--2122122211-01,East Asian,lineage2.2.1,ND,Beijing
GCA_001396755.1_6280_4_10_genomic,702165400001731,702165400001731,11121--122111-121-1---11,1121112112111110122211-1,East-African Indian,lineage3.1.1,ND,CAS
GCA_001392895.1_6570_8_17_genomic,777737777760771,777737777760771,2211211112221111-12121-1,222221122113221111121-12,Euro-American,lineage4,ND,T3
GCA_001379055.1_7769_7_20_genomic,000000000003771,000000000003771,212225122321212321122112,213112232-23225122232212,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001397895.1_6174_1_9_genomic,400000000000011,400000000000011,1-1111-112-21-11-111---1,112021121-11111011111--1,East-African Indian,lineage3.1.2.1,streptomycin(R),mungi
GCA_001383295.1_7156_7_75_genomic,000000000003771,000000000003771,213213151222212221112112,2131232212232231-1222-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
